teamNum,color,matchNum,arrangement
4905,Red,1,LRL
7314,Red,1,LRL
1721,Red,1,LRL
1729,Blue,1,LRL
319,Blue,1,LRL
3467,Blue,1,LRL
811,Red,10,RLR
4905,Red,10,RLR
5687,Red,10,RLR
6153,Blue,10,RLR
58,Blue,10,RLR
2342,Blue,10,RLR
78,Red,11,LLL
319,Red,11,LLL
1153,Red,11,LLL
125,Blue,11,LLL
238,Blue,11,LLL
1729,Blue,11,LLL
501,Red,12,RLR
3236,Red,12,RLR
1247,Red,12,RLR
509,Blue,12,RLR
1721,Blue,12,RLR
2084,Blue,12,RLR
5459,Red,13,RRR
4909,Red,13,RRR
1519,Red,13,RRR
3467,Blue,13,RRR
78,Blue,13,RRR
125,Blue,13,RRR
5687,Red,2,LRL
1153,Red,2,LRL
5459,Red,2,LRL
3323,Blue,2,LRL
501,Blue,2,LRL
811,Blue,2,LRL
238,Red,3,RRR
6153,Red,3,RRR
4909,Red,3,RRR
5813,Blue,3,RRR
2342,Blue,3,RRR
3236,Blue,3,RRR
1519,Red,4,RLR
78,Red,4,RLR
125,Red,4,RLR
1247,Blue,4,RLR
509,Blue,4,RLR
58,Blue,4,RLR
2342,Red,5,RRR
3467,Red,5,RRR
2084,Red,5,RRR
1153,Blue,5,RRR
3323,Blue,5,RRR
5813,Blue,5,RRR
3236,Red,6,RLR
125,Red,6,RLR
6153,Red,6,RLR
1519,Blue,6,RLR
1729,Blue,6,RLR
501,Blue,6,RLR
7314,Red,7,LRL
1247,Red,7,LRL
238,Red,7,LRL
58,Blue,7,LRL
5459,Blue,7,LRL
4905,Blue,7,LRL
319,Red,8,LLL
811,Red,8,LLL
509,Red,8,LLL
2084,Blue,8,LLL
5687,Blue,8,LLL
4909,Blue,8,LLL
1721,Red,9,RLR
1519,Red,9,RLR
3323,Red,9,RLR
78,Blue,9,RLR
5813,Blue,9,RLR
7314,Blue,9,RLR
