teamNum,autonScaleSec,autonSwitchSec,teleScaleSec,teleSwitchSec
103,1.8333333333333333,6.666666666666667,87.83333333333333,118.75
1143,1.4166666666666667,5.083333333333333,54.5,113.83333333333333
1218,1.9166666666666667,9.5,94.5,113.83333333333333
1257,2.25,6.916666666666667,73.5,121.16666666666667
1391,2.25,6.916666666666667,80.91666666666667,96.0
1640,2.1666666666666665,7.333333333333333,81.0,118.83333333333333
1647,0.0,5.333333333333333,36.25,109.41666666666667
1791,0.0,7.666666666666667,33.416666666666664,113.83333333333333
1807,1.6666666666666667,8.666666666666666,74.33333333333333,114.83333333333333
1811,1.1666666666666667,6.583333333333333,27.583333333333332,115.0
203,1.25,6.583333333333333,45.5,111.75
219,6.333333333333333,5.333333333333333,69.0,101.0
2458,0.25,6.916666666666667,50.166666666666664,98.41666666666667
25,0.5,9.083333333333334,71.25,114.58333333333333
2539,2.1666666666666665,4.75,43.833333333333336,92.66666666666667
2559,0.0,7.666666666666667,44.833333333333336,97.16666666666667
2577,3.0,5.166666666666667,64.58333333333333,93.83333333333333
2590,1.4166666666666667,8.416666666666666,92.08333333333333,126.25
4285,2.75,5.416666666666667,60.583333333333336,81.5
4454,0.5833333333333334,6.25,58.0,115.75
5181,0.4166666666666667,6.083333333333333,39.0,104.41666666666667
5401,0.4166666666666667,6.666666666666667,40.166666666666664,109.66666666666667
5404,0.6666666666666666,8.166666666666666,54.666666666666664,123.83333333333333
5407,1.0833333333333333,4.25,64.66666666666667,106.41666666666667
5457,1.25,8.833333333333334,38.25,103.0
5490,0.4166666666666667,5.083333333333333,43.916666666666664,88.0
6226,2.8333333333333335,3.5,47.833333333333336,110.33333333333333
6327,1.3333333333333333,4.916666666666667,24.416666666666668,84.33333333333333
6667,0,0,0,0
6808,1.0,6.166666666666667,33.333333333333336,106.41666666666667
6943,0.8333333333333334,5.833333333333333,34.833333333333336,82.75
708,0.8333333333333334,6.916666666666667,35.0,97.0
816,1.0,7.333333333333333,35.25,101.66666666666667
