teamNum,teamName
102,The Gearheads
103,Cybersonics
1089,Team Mercury
11,MORT
1143,Cruzin' Comets
1168,Malvern Robotics
1218,Vulcan Robotics
1257,Parallel Universe
1391,The Metal Moose
1403,Cougar Robotics
1640,Sab-BOT-age
1676,The Pascack PI-oneers
1712,Dawgma
1807,Redbird Robotics
1923,The MidKnight Inventors
1989,Viking Robotics
2016,Mighty Monkey Wrenches
203,SOUPer BOTS
2180,Zero Gravity
219,Team Impact
222,Tigertrons
223,Xtreme Heat
225,TechFire
2495,Hive Mind
25,Raider Robotix
2539,Krypton Cougars
2590,Nemesis
2600,Team Falcon
2607,The Fighting RoboVikings
272,Cyber-Crusaders
2729,Storm Robotics Team
293,Team S.P.I.K.E.
303,The T.E.S.T. Team
3142,Aperture
316,LUNATECS
321,RoboLancers
3314,Mechanical Mustangs
3637,The Daleks
365,Miracle Workerz
3929,Atomic Dragons
3974,E=mCD
41,RoboWarriors
433,Firebirds
4342,Demon Robotics
4361,Roxbotix
4653,Ironmen Robotics
5401,Fightin' Robotic Owls
5404,Gearaffes
5407,Wolfpack Robotics
5420,Velocity
56,R.O.B.B.E.
5895,Peddie School Robotics
5992,Pirates
6203,Titanium Knights Robotics
6860,Equitum Robotics
6945,Children of the Corn
708,Hatters Robotics
747,Flight Crew
75,RoboRaiders
834,SparTechs
