name,match,division,allianceNum,team,autonPos,autonSwitch,autonScale,teleScalePnt,teleSwitchPnt,teleClimbPnt,teleExchangePnt,teleDefensePnt,teleHelpingPnt,endgame,comments,timeStamp
Corinne,QF1M1,Carson Division,1,25,1,0,2,0,0,0,2,2,0,No climb at all,They were a good team. They let 3015 do most of the scale work and knew they were a good scale robot and then 25 played defence and then 225 did switch and exhange. 25 did some exchange as well. ,09:35:58.957163
Corinne,QF1M1,Carson Division,1,225,3,0,0,2,0,2,2,0,0,Climb,They were a good team. They let 3015 do most of the scale work and knew they were a good scale robot and then 25 played defence and then 225 did switch and exhange. 25 did some exchange as well. ,09:35:58.961171
Corinne,QF1M1,Carson Division,1,3015,2,1,0,2,0,2,0,0,0,Climb,They were a good team. They let 3015 do most of the scale work and knew they were a good scale robot and then 25 played defence and then 225 did switch and exhange. 25 did some exchange as well. ,09:35:58.961746
Corinne,QF2M1,Carson Division,4,4253,3,0,0,1,2,0,0,0,0,Climb,They worked pretty well togeather they had a good stratigy but they got a little condused,09:41:53.982571
Corinne,QF2M1,Carson Division,4,2502,1,0,1,2,0,0,0,0,0,No climb at all,They worked pretty well togeather they had a good stratigy but they got a little condused,09:41:53.983034
Corinne,QF2M1,Carson Division,4,3990,2,1,0,0,0,0,2,0,0,No climb at all,They worked pretty well togeather they had a good stratigy but they got a little condused,09:41:53.983424
Corinne,QF3M1,Carson Division,2,4967,2,1,0,0,0,0,2,0,0,Climb,they were able to get some of the cubes onto the scale. ,09:49:51.723821
Corinne,QF3M1,Carson Division,2,217,1,0,0,2,0,0,2,0,0,Climb,they were able to get some of the cubes onto the scale. ,09:49:51.724595
Corinne,QF3M1,Carson Division,2,3357,3,0,0,2,0,0,0,0,0,No climb at all,they were able to get some of the cubes onto the scale. ,09:49:51.725005
Corinne,QF3M1,Carson Division,3,133,2,1,0,2,2,0,0,0,0,Climb,their is a fight over the scale. 5050 was on the left switch and 3940 was on the right switch ,09:54:59.530675
Corinne,QF3M1,Carson Division,3,3940,3,0,1,0,2,0,2,0,0,No climb at all,their is a fight over the scale. 5050 was on the left switch and 3940 was on the right switch ,09:54:59.531126
Corinne,QF3M1,Carson Division,3,5050,1,0,1,2,2,0,0,0,0,Climb,their is a fight over the scale. 5050 was on the left switch and 3940 was on the right switch ,09:54:59.531516
Corinne,SF1M1,Carson Division,1,25,2,0,0,2,0,0,0,0,0,No climb at all,,11:24:31.363027
Corinne,SF1M1,Carson Division,1,225,3,0,2,1,2,0,1,0,0,No climb at all,,11:24:31.363562
Corinne,SF1M1,Carson Division,1,3015,1,1,0,1,0,0,0,0,0,No climb at all,,11:24:31.364052
